ticker,price,mktcap_b,fwd_pe,trail_pe,psr,pbr,ev_ebitda,peg,rev_growth,eps_growth,gross_margin,op_margin,fcf_b,roe,debt_to_equity,beta,div_yield
AAPL,310.34,4529.157832704,32.535477,35.589447,9.702088,42.16576,27.01,2.49,0.164,0.287,0.48653,0.32623002,107.721875456,1.4875101,78.445,1.086,0.35
ABBV,264.52,467.437846528,16.24614,74.51267,7.25993,-78.749626,17.312,0.43,0.102,2.904,0.72792,0.40035,16.870250496,,,0.28,2.61
ABNB,190.21,113.895022592,30.984732,43.42694,8.655294,14.389137,36.529,2.01,0.165,0.334,0.82901,0.21009001,3.20687488,0.34542,32.004,1.137,
ABT,116.67,201.883828224,19.237017,37.757282,4.3622913,3.949961,19.656,2.35,0.13,-0.475,0.56847,0.14706999,7.209124864,0.10576,63.212,0.581,2.16
ADBE,276.27,109.81732352,10.049693,15.804919,4.358176,9.570443,11.397,0.67,0.127,0.079,0.89404,0.35327998,9.218374656,0.62953997,61.443,1.397,
ADI,371.17,180.792098816,22.7199,44.029655,13.02373,5.3746023,27.103,0.56,0.396,1.635,0.65800005,0.39503,4.147339008,0.12227,27.314,1.212,1.18
ADP,283.01,112.429334528,21.122608,25.845663,5.122672,18.666975,17.6,2.6,0.068,0.098,0.48653,0.23459,5.243049984,0.72239,91.436,0.823,2.42
ADSK,254.42,53.71957248,17.880825,37.141605,7.155931,16.833399,24.945,0.97,0.184,2.314,0.92434,0.29524,3.060999936,0.50396,85.419,1.298,
AEP,121.98,66.405593088,17.79909,21.140383,2.913676,2.0699487,13.287,2.06,0.07,-0.432,0.46352002,0.23251,-5.99595008,0.10130999,160.789,0.507,3.14
ALAB,277.53,48.147320832,43.408287,137.39108,40.05871,27.900875,168.992,,1.045,1.862,0.75128996,0.22744,0.091913128,0.25826,2.574,3.843,
AMAT,484.19,384.427229184,26.398993,41.848747,12.466428,14.99458,38.288,0.99,0.248,0.428,0.49398,0.33736,3.075375104,0.41068,28.666,1.618,0.43
AMD,456.745,745.624764416,29.494118,116.2201,18.051682,11.088466,79.872,1.01,0.501,1.595,0.55724,0.1725,8.841499648,0.10196,6.361,2.489,
AMGN,443.84,239.954100224,18.19196,27.60199,6.298835,20.529139,16.263,2.31,0.095,0.649,0.71891,0.35548002,8.645624832,0.91473,490.281,0.413,2.29
AMZN,262.07,2826.769268736,25.222055,21.066721,3.6442466,5.1229577,17.277,1.38,0.196,2.423,0.5077,0.13689,3.219124992,0.30558002,45.617,1.454,
ANET,188.15,237.299417088,36.466286,59.35331,22.512468,16.035967,48.406,1.78,0.377,0.357,0.63004,0.45393002,3.891512576,0.31476,,1.615,
APP,298.59,100.308180992,14.220745,22.968462,14.631934,31.650414,18.982,0.86,0.528,0.57,0.88464,0.77678,3.179956224,2.03686,111.13,2.529,
ARM,238.78,255.016697856,78.01127,246.16495,49.460186,29.548323,241.104,2.0,0.224,1.083,0.97537005,0.07603,1.334499968,0.13352999,5.62,3.909,
AVGO,358.76,1706.829545472,18.394054,59.693844,22.617498,19.466087,42.729,0.41,0.479,0.854,0.76284,0.48988,27.212249088,0.37280998,74.018,1.473,0.71
AXON,597.59,48.546668544,56.59334,250.03766,15.080826,13.211372,315.887,2.87,0.353,-0.182,0.59525,0.0517,0.22216,0.06221,50.363,1.397,
AZN,166.71,258.54820352,14.675177,24.994003,4.213216,5.1410866,14.313,1.43,0.064,0.025,0.8169,0.23459,4.905375232,0.21965,64.225,0.211,1.93
BAC,62.33,435.858014208,11.770749,14.394919,3.8256314,1.584312,,1.05,0.168,0.341,0.0,0.38305,0.0,0.111990005,,1.168,2.07
BE,204.02,60.089475072,41.763134,264.96106,19.301825,37.1283,142.084,0.85,1.655,,0.31651,0.17106001,0.531637504,0.22213,171.578,3.832,
BKNG,213.36,160.314540032,17.239275,23.733038,5.854186,-14.997891,15.482,0.92,0.081,1.3,0.87227994,0.34412,7.7258752,,,1.068,0.8
BKR,61.985,61.530902528,19.610603,19.930868,2.219329,3.089672,12.665,2.14,-0.024,-0.042,0.23657,0.1283,4.415000064,0.16463,80.925,0.959,1.48
BRK-B,504.32,1079.602774016,22.724754,12.684105,2.8064446,0.00096571236,-1.79,10.06,0.1,1.078,0.30332002,0.32561,71.975247872,0.121199995,17.142,0.607,
CAT,811.02,372.805533696,25.123617,34.987923,4.9887667,19.221672,25.83,1.82,0.24,0.682,0.29713,0.22183001,5.048999936,0.56972003,232.783,1.605,0.79
CBRS,185.43,44.051501056,145.58601,,64.71757,4.6043253,-82.838,,0.743,,0.34903,-2.64968,0.0,,16.244,,
CCEP,110.12,48.63735808,19.180265,21.258688,2.2779896,5.0461273,16.58,3.14,0.044,0.09,0.35571998,0.134,1.583000064,0.23544,139.064,0.48,2.23
CDNS,315.92,87.002161152,33.13048,62.682545,14.926589,12.686531,41.27,2.89,0.242,1.254,0.85871005,0.28575,1.609676544,0.23229,38.661,1.142,
CEG,273.43,96.87826432,20.494467,26.72825,3.0981216,3.0381448,15.22,3.74,0.23,-0.468,0.22107,0.086619996,-6.625124864,0.15055001,76.419,1.118,0.63
CIEN,371.95,52.650614784,38.467464,123.571434,9.453977,18.209635,71.783,0.68,0.395,23.833,0.43047002,0.15195,0.700927872,0.15464,54.649,1.315,
COHR,275.49,53.949820928,19.749887,67.02919,7.5791583,4.94596,41.165,0.92,0.337,,0.37495998,0.118269995,-0.649981632,0.07981,31.612,2.107,
COP,133.35,160.198361088,14.003015,17.61559,2.4852753,2.451422,6.633,1.07,0.355,1.07,0.47574002,0.3151,7.691375104,0.1418,35.639,0.123,2.49
COST,971.4,430.79532544,42.869,48.81407,1.4673516,26.058266,30.357,4.6,0.215,0.455,0.12876001,0.036730003,6.954375168,0.29152,60.257,0.86,0.62
CPRT,33.26,30.792486912,19.78125,20.658384,6.9067807,3.5095491,13.87,4.06,0.021,0.023,0.47522998,0.37530997,0.999977152,0.17607,1.059,1.014,
CRWD,190.68,194.161672192,121.65058,,38.11426,41.89848,3232.773,6.24,0.256,,0.75136,-0.022079999,1.926365056,-0.0024899999,17.568,1.234,
CRWV,86.25,47.570030592,-44.262547,,6.2674613,9.4593115,24.948,,1.125,,0.67418,-0.01903,-9.088615424,-0.43596,1027.329,,
CSCO,110.23,434.4643584,19.871323,33.102104,6.8608665,8.656353,24.273,1.02,0.176,0.52,0.64564,0.27701,11.568,0.27319,58.731,1.002,1.51
CSX,51.44,95.291301888,22.64573,29.906975,6.5663795,6.76664,16.634,2.1,0.101,0.227,0.47070998,0.38424,1.953250048,0.24357,138.068,1.211,1.09
CTAS,207.4,82.995167232,33.93208,42.240326,7.367681,16.14636,28.036,3.23,0.089,0.156,0.50668997,0.23688,1.464424832,0.40714002,52.646,0.918,1.02
CVX,203.09,398.382006272,15.360609,19.546679,1.9026383,2.098037,8.623,0.79,0.535,3.219,0.44267,0.21866,21.934000128,0.12231,18.959,0.488,3.47
CYBR,,0.0,,,,,,,,,,,0.0,,,,
DASH,229.06,99.805732864,28.12913,120.55789,6.2457175,10.003057,66.021,5.0,0.356,-0.3,0.52225,0.03862,5.147500032,0.088870004,33.276,1.77,
DDOG,225.77,81.068367872,76.056015,460.7551,20.437103,18.557455,975.881,1.44,0.356,14.985,0.79536,0.00666,1.051412352,0.04696,29.259,1.509,
