ticker,mp_weight,bm_weight_approx,sector
A,0.0,0.058516601517598,Health Care
AAPL,3.69,6.1160705475200405,Information Technology
ABBV,1.63,0.6312173149062642,Health Care
ABNB,0.0,0.1538012184415711,Consumer Discretionary
ABT,0.0,0.2726192774527884,Health Care
ACGL,0.0,0.0466040933413914,Financials
ACN,0.0,0.1541395364061606,Information Technology
ADBE,0.0,0.1482947874190471,Information Technology
ADI,0.0,0.2441374912591029,Information Technology
ADM,0.0,0.0508686497492358,Consumer Staples
ADP,0.0,0.1518219869969627,Industrials
ADSK,0.0,0.0725416748998882,Information Technology
AEE,0.0,0.040060993153069,Utilities
AEP,0.0,0.0896725852968657,Utilities
AES,0.0,0.0142103141662729,Utilities
AFL,0.0,0.0800216900688183,Financials
AIG,0.0,0.0546382406583192,Financials
AIZ,0.0,0.0191697814036495,Financials
AJG,0.0,0.0941512357022802,Financials
AKAM,0.0,0.0205056066504944,Information Technology
ALB,0.0,0.0225498027662207,Materials
ALGN,0.0,0.0153143595820492,Health Care
ALL,0.0,0.0888428030477778,Financials
ALLE,0.0,0.0186750827825949,Industrials
AMAT,0.0,0.5191216868398013,Information Technology
AMCR,0.0,0.0299121760296991,Materials
AMD,0.0,1.0068745293479158,Information Technology
AME,0.0,0.0750227304620343,Industrials
AMGN,0.0,0.3240284969845057,Health Care
AMP,0.0,0.0669333491393779,Financials
AMT,0.0,0.1122468716727757,Real Estate
AMZN,7.89,3.8172041928663134,Consumer Discretionary
ANET,3.31,0.3204436739465781,Information Technology
AON,0.0,0.102863949317704,Financials
AOS,0.0,0.011510864833354,Industrials
APA,0.0,0.0203246607999634,Energy
APD,0.0,0.0920892528096742,Materials
APH,0.0,0.258989586849538,Information Technology
APO,0.0,0.1058941645292348,Financials
APP,0.0,0.1354538600996851,Communication Services
APTV,0.0,0.0132733438742234,Consumer Discretionary
ARE,0.0,0.0125585458158111,Real Estate
ARES,0.0,0.0623628706783752,Financials
ATO,0.0,0.0382962345894066,Utilities
AVGO,7.14,2.304863353915394,Information Technology
AVY,0.0,0.0187993067496144,Materials
AWK,0.0,0.0375461174098667,Utilities
AXON,0.0,0.0655563044233571,Industrials
AXP,0.0,0.3076189196927829,Financials
AZO,0.0,0.0663442601601961,Consumer Discretionary
BA,0.0,0.2246234376141598,Industrials
BAC,0.0,0.5885726358108876,Financials
BALL,0.0,0.0230268846930789,Materials
BAX,0.0,0.0184937151823205,Health Care
BBY,0.0,0.0248981274616065,Consumer Discretionary
BDX,0.0,0.0701589188320149,Health Care
BEN,0.0,0.0237526192063106,Financials
BF-B,0.0,0.0178146427841326,Consumer Staples
BG,0.0,0.0285791675180251,Consumer Staples
BIIB,0.0,0.0435200877527616,Health Care
BKNG,0.0,0.2164850669475482,Consumer Discretionary
BKR,0.0,0.0830899153031176,Energy
BLDR,0.0,0.0102026697258408,Industrials
BLK,0.0,0.2572754631452228,Financials
BMY,0.0,0.1855874871618339,Health Care
BNY,0.0,0.1485585676847384,Financials
BR,0.0,0.028554183339788,Industrials
BRK-B,0.0,1.4578707506066553,Financials
BRO,0.0,0.0337170584041891,Financials
BSX,0.0,0.095912871935056,Health Care
BX,0.0,0.2318497004817873,Financials
BXP,0.0,0.0170952469621251,Real Estate
C,0.0,0.2983684571784067,Financials
CAH,0.0,0.072979260308981,Health Care
CARR,0.0,0.0667555836967474,Industrials
